date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:30:08	191/191	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Oct%202021%2004:20:53%20+0000	https://sb-supermarket.mybigcommerce.com/robots.txt		(from )
04:30:08	239250/239250	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:08%20GMT	https://sb-supermarket.mybigcommerce.com/	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/index.html	(from )
04:30:09	152191/152191	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Mar%202024%2021:30:09%20GMT	https://sb-supermarket.mybigcommerce.com/POST	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/POST	(from https://sb-supermarket.mybigcommerce.com/)
04:30:12	151400/151400	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:10%20GMT	https://sb-supermarket.mybigcommerce.com/cart.php	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/cart.html	(from https://sb-supermarket.mybigcommerce.com/)
04:30:12	227376/227376	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:11%20GMT	https://sb-supermarket.mybigcommerce.com/accessories/	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/accessories/index.html	(from https://sb-supermarket.mybigcommerce.com/)
04:30:12	216307/216307	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:11%20GMT	https://sb-supermarket.mybigcommerce.com/accessories/electronics/apple/	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/accessories/electronics/apple/index.html	(from https://sb-supermarket.mybigcommerce.com/)
04:30:12	229189/229189	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:11%20GMT	https://sb-supermarket.mybigcommerce.com/accessories/electronics/	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/accessories/electronics/index.html	(from https://sb-supermarket.mybigcommerce.com/)
04:30:15	153595/153595	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:13%20GMT	https://sb-supermarket.mybigcommerce.com/login.php	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/login.html	(from https://sb-supermarket.mybigcommerce.com/)
04:30:15	216397/216397	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:13%20GMT	https://sb-supermarket.mybigcommerce.com/accessories/electronics/esdipiscing/	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/accessories/electronics/esdipiscing/index.html	(from https://sb-supermarket.mybigcommerce.com/)
04:30:15	216292/216292	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2021:30:15%20GMT	https://sb-supermarket.mybigcommerce.com/accessories/electronics/dell/	/Users/maiyon9x/websites/user/sb-supermarket.mybigcommerce.com/accessories/electronics/dell/index.html	(from https://sb-supermarket.mybigcommerce.com/)
